BGG_Handle,Num Traded,Num Submitted,Num Cash Gives,Num Cash Receives
AaronB,0,6,0,0
alexandraaplus,6,22,0,0
Astute_Asian,2,32,0,0
atanner12,8,24,0,5
beardnweird,27,104,0,7
carsenyoung,7,9,6,0
cehotchk,3,13,2,0
chesschiefy,14,12,12,0
DadDialTone,5,17,0,1
deflagratio1,6,20,0,0
drgphx,13,60,0,0
ds679,1,18,0,0
foxunderground,3,11,0,1
FreakPower,6,11,0,0
GamerTroyRVA,1,1,0,0
getsumaiki,9,29,0,2
graywolf323,2,13,0,0
Jackieh9,27,30,18,1
janiera,1,1,0,0
KellyLee,4,18,0,0
kkornblum14,1,3,0,0
kristybeardesigns,12,18,6,0
Krudly,0,10,0,0
Leapster,32,98,6,12
lewistc2,7,16,0,0
longhunter,12,3,12,0
LostChord_Mark,12,65,0,12
mhinto,0,9,0,0
NakedBuddha,7,42,0,2
paregmenon,3,14,2,0
pdb12210,4,10,0,0
QuantumMachina,14,38,8,4
Rickdey55,31,166,0,6
RiVirCon,2,30,0,0
roufus,17,38,0,5
scninmer08,25,215,0,24
Sebastian_delima,18,97,0,0
Snapper67,4,25,1,0
SneekyCarrot,21,54,6,0
spider1502,9,22,0,0
spikedone,3,31,0,0
Stealthshade,9,13,0,1
stretcharmdong,3,6,0,0
switzerjw,2,5,0,0
teabo,4,7,0,0
TheCookieCats,40,189,24,8
thorme,3,23,0,2
Tim777,2,24,0,0
TJSmoke25,4,7,0,0
unpluggedRVA,2,11,0,0
USACelt,10,17,0,0
ViperMan,3,14,0,0
wafflestomper,13,51,0,10
